memberid,status,signupdate,milesflown,customerid
43569915,None,2020-04-02,8499,39020
43569916,None,2020-08-09,8551,18682
43569917,Silver,2021-07-24,3191,22287
43569918,None,2023-06-03,9092,20868
43569919,Silver,2023-04-03,8391,5051
43569920,None,2022-11-26,1139,9299
43569921,Gold,2022-05-18,6497,41085
43569922,Gold,2023-11-23,9925,47885
43569923,Gold,2022-11-19,67,38690
43569924,Silver,2021-04-26,6760,29641
43569925,Gold,2022-06-09,9955,20596
43569926,None,2024-04-28,745,5312
43569927,Silver,2022-03-03,9271,40290
43569928,Silver,2021-08-22,1845,3810
43569929,None,2021-08-02,6821,31431
43569930,Gold,2023-08-06,8371,14971
43569931,Gold,2021-02-22,4938,14148
43569932,Silver,2021-10-29,1947,6747
43569933,None,2021-08-21,973,40491
43569934,None,2020-09-17,8057,46378
43569935,None,2021-11-21,290,900
43569936,None,2023-01-06,2444,34936
43569937,Silver,2020-07-04,6840,36572
43569938,Gold,2020-06-27,5077,43995
43569939,None,2022-06-11,7060,26398
43569940,None,2022-06-10,2681,40634
43569941,Silver,2023-09-21,3836,28009
43569942,Silver,2023-07-20,7,16279
43569943,None,2023-05-30,9252,1551
43569944,Gold,2024-01-07,2884,45678
43569945,Silver,2020-02-18,6463,30054
43569946,Gold,2024-01-16,1278,13503
43569947,Silver,2020-01-12,2169,11669
43569948,Gold,2023-02-12,1359,45328
43569949,None,2023-09-10,8027,36916
43569950,None,2022-09-25,3516,2343
43569951,Silver,2024-02-18,7579,27055
43569952,Silver,2023-02-18,5470,10323
43569953,Silver,2021-07-20,4561,393
43569954,None,2023-03-09,5211,32295
43569955,Silver,2020-12-27,8816,28547
43569956,None,2020-09-13,2786,39420
43569957,Gold,2022-07-13,3682,47261
43569958,None,2021-07-28,7371,46356
43569959,None,2021-12-02,4380,33090
43569960,None,2020-06-12,6364,28882
43569961,Gold,2024-04-15,9080,48729
43569962,None,2021-10-03,4400,4502
43569963,None,2023-09-17,3245,31506
43569964,None,2020-04-09,8581,48109
43569965,None,2021-11-27,2509,35335
43569966,None,2020-05-06,2106,28056
43569967,Silver,2023-05-22,2938,29439
43569968,Gold,2023-01-12,4345,12820
43569969,Silver,2021-11-23,2449,4534
43569970,None,2020-04-10,1368,27652
43569971,None,2021-11-01,3757,36320
43569972,None,2021-10-20,2110,30977
43569973,None,2022-09-26,5351,9934
43569974,Gold,2024-03-16,2817,25154
43569975,Silver,2023-10-21,1351,16501
43569976,None,2024-04-27,9034,39079
43569977,Gold,2021-11-05,2937,29353
43569978,None,2021-05-02,203,20847
43569979,Gold,2023-11-01,5513,21713
43569980,None,2024-01-04,7772,45241
43569981,None,2020-06-19,2968,2666
43569982,Gold,2021-02-11,9378,23666
43569983,None,2023-09-02,5699,28206
43569984,Silver,2020-02-12,5227,33917
43569985,None,2020-09-16,7110,36816
43569986,None,2020-07-08,1564,388
43569987,Silver,2024-03-17,2576,7423
43569988,Silver,2021-09-19,6790,19431
43569989,Gold,2020-12-14,4507,39465
43569990,Silver,2022-09-22,7970,48975
43569991,Gold,2022-11-23,4131,35277
43569992,Silver,2022-02-05,8554,39516
43569993,None,2023-02-09,7518,39588
43569994,None,2021-10-12,4052,20150
43569995,Gold,2022-01-22,1609,47592
43569996,Silver,2022-06-02,3660,22782
43569997,None,2023-09-13,6733,14772
43569998,Gold,2023-05-25,919,39685
43569999,Silver,2023-06-25,7629,38607
43570000,None,2024-04-13,6269,33844
43570001,None,2021-12-23,3846,47899
43570002,Silver,2022-05-29,9689,249
43570003,Silver,2020-12-29,3256,36758
43570004,Gold,2022-12-15,7138,16620
43570005,Silver,2020-06-26,326,16484
43570006,Gold,2020-11-05,5669,9768
43570007,None,2021-07-03,4807,32985
43570008,None,2024-04-05,9428,19541
43570009,None,2022-02-22,5182,11759
43570010,None,2024-02-03,6858,25055
43570011,Gold,2023-06-28,5675,34797
43570012,None,2022-03-19,2046,23328
43570013,Silver,2021-05-20,4776,23400
43570014,Silver,2020-10-13,2062,24685
43570015,Silver,2021-01-06,8575,20750
43570016,Silver,2022-06-08,2784,32701
43570017,Silver,2020-02-25,1976,35785
43570018,Gold,2020-06-02,3145,10424
43570019,Silver,2023-12-04,7740,2456
43570020,None,2020-12-02,6539,31563
43570021,Gold,2020-10-11,3026,8567
43570022,Silver,2021-01-22,7414,10945
43570023,None,2022-01-21,8224,17466
43570024,Gold,2022-05-28,7709,21190
43570025,Gold,2021-03-22,9814,21937
43570026,Silver,2024-03-28,6757,27005
43570027,None,2021-02-20,8154,8522
43570028,Silver,2020-04-04,4857,8889
43570029,None,2022-04-23,7731,14270
43570030,None,2020-03-17,4180,3799
43570031,None,2021-03-13,7571,15613
43570032,Silver,2023-09-24,2632,37569
43570033,None,2020-11-08,1010,28657
43570034,Gold,2021-04-06,2579,7765
43570035,Gold,2023-12-13,506,1843
43570036,Gold,2020-06-05,6887,35169
43570037,None,2021-09-24,199,39996
43570038,None,2022-08-09,9640,49197
43570039,None,2022-07-17,9358,11787
43570040,Silver,2021-01-19,8162,42510
43570041,Gold,2024-03-07,9115,25812
43570042,None,2022-01-22,3549,11929
43570043,Silver,2021-07-05,7126,30193
43570044,Silver,2022-10-20,4983,12005
43570045,Silver,2023-05-02,301,26642
43570046,Silver,2021-01-18,9536,25413
43570047,Silver,2022-09-06,3594,29298
43570048,Gold,2023-07-16,7209,21070
43570049,None,2023-03-16,5449,1534
43570050,Silver,2022-12-21,7525,43978
43570051,Gold,2021-03-20,6944,48119
43570052,Gold,2022-07-31,3475,42976
43570053,None,2021-06-13,7952,476
43570054,Silver,2020-12-06,9425,45866
43570055,Silver,2022-04-05,8333,43632
43570056,None,2023-04-07,8981,8690
43570057,None,2022-02-07,2770,8322
43570058,None,2021-03-09,9548,9844
43570059,Gold,2021-02-13,4588,29809
43570060,Gold,2024-05-12,5277,1527
43570061,Silver,2023-12-01,993,10152
43570062,Silver,2023-12-16,9933,7867
43570063,None,2021-11-29,5652,23128
43570064,Gold,2020-09-09,5497,24495
43570065,Silver,2024-01-18,172,49755
43570066,None,2023-02-10,912,33331
43570067,None,2020-02-02,3264,40572
43570068,Silver,2020-09-09,5583,5797
43570069,Silver,2020-04-28,1095,21947
43570070,Silver,2023-03-12,602,43075
43570071,Silver,2023-09-13,3611,8035
43570072,Gold,2021-12-09,8232,117
43570073,Gold,2020-02-28,4400,11952
43570074,Silver,2023-12-12,8129,34793
43570075,Silver,2022-06-22,4332,24142
43570076,Silver,2023-12-07,3911,37023
43570077,None,2020-06-25,2749,40020
43570078,Gold,2023-12-26,2152,1273
43570079,None,2024-02-22,8421,7928
43570080,Silver,2023-12-31,4180,39583
43570081,Gold,2023-10-05,5984,27568
43570082,None,2021-07-24,4,36006
43570083,None,2022-12-06,8334,10844
43570084,Gold,2022-12-15,8055,40914
43570085,None,2023-01-15,9322,21173
43570086,Silver,2023-05-09,5547,16338
43570087,Silver,2020-03-06,8073,33304
43570088,None,2022-06-28,7222,45401
43570089,Gold,2020-11-26,8899,38979
43570090,Silver,2022-04-20,3652,32782
43570091,Silver,2020-05-29,8808,17672
43570092,Silver,2024-01-13,5937,20387
43570093,None,2020-01-13,694,14872
43570094,Silver,2022-02-03,7620,12815
43570095,Gold,2023-03-22,4217,16957
43570096,Silver,2020-10-19,1360,1863
43570097,None,2022-06-03,5377,27790
43570098,Silver,2020-03-20,4730,19472
43570099,Gold,2020-04-18,7029,48900
43570100,None,2021-10-01,1678,45842
43570101,Gold,2021-09-26,562,30269
43570102,None,2023-02-19,5682,44387
43570103,None,2020-08-13,817,36894
43570104,Gold,2022-12-16,1697,15945
43570105,Gold,2022-11-22,9280,35810
43570106,None,2020-01-04,704,13182
43570107,Silver,2022-07-27,841,44950
43570108,None,2022-01-23,3577,21402
43570109,None,2024-04-20,6455,29829
43570110,Silver,2021-12-21,3619,45583
43570111,Silver,2021-05-21,7146,32921
43570112,Silver,2023-07-30,4824,1862
43570113,Silver,2023-03-24,7290,22672
43570114,Silver,2021-05-27,2224,18799
43570115,None,2024-05-10,6672,2665
43570116,Silver,2023-11-03,3010,18385
43570117,Silver,2022-10-17,8088,12751
43570118,Silver,2021-09-04,4547,7407
43570119,Gold,2022-03-06,9913,39167
43570120,None,2022-08-17,1546,46172
43570121,Silver,2022-06-17,9285,25091
43570122,None,2020-10-23,2044,46176
43570123,None,2024-01-18,9575,24285
43570124,Silver,2023-01-07,153,27026
43570125,None,2020-05-21,8190,8803
43570126,Silver,2022-06-01,7502,3410
43570127,Silver,2020-01-28,1869,20562
43570128,None,2021-02-01,7591,37447
43570129,Gold,2023-06-15,5661,13049
43570130,Silver,2021-07-19,4755,27489
43570131,None,2022-06-07,8345,20698
43570132,Silver,2021-10-14,500,40137
43570133,None,2021-09-01,5262,7483
43570134,Gold,2022-07-27,1697,47667
43570135,None,2020-01-06,6280,1036
43570136,Silver,2022-10-18,9033,45549
43570137,None,2021-09-01,7178,14916
43570138,Gold,2021-03-13,7072,22884
43570139,Gold,2022-01-29,7849,39327
43570140,Gold,2024-04-09,4085,35502
43570141,Gold,2023-12-13,405,20342
43570142,Silver,2024-02-13,8645,23351
43570143,Silver,2023-04-25,9186,33163
43570144,Silver,2021-11-28,5455,4209
43570145,Gold,2022-11-07,1716,43231
43570146,Gold,2020-09-28,3627,29644
43570147,None,2020-07-10,7932,20344
43570148,None,2020-02-02,3303,32330
43570149,Silver,2022-01-06,481,14607
43570150,Silver,2021-06-09,7919,6692
43570151,Gold,2021-12-25,8410,16944
43570152,Gold,2021-05-26,1378,17361
43570153,None,2023-11-23,3536,42673
43570154,None,2023-10-07,3629,7266
43570155,Silver,2022-08-04,6985,17605
43570156,Silver,2021-03-06,5714,35433
43570157,Silver,2020-03-15,5377,18510
43570158,Gold,2020-01-01,9293,17914
43570159,Gold,2020-08-13,1780,21468
43570160,None,2021-02-27,3654,44257
43570161,Gold,2022-11-28,9088,42843
43570162,Gold,2020-07-19,3146,1234
43570163,Silver,2021-07-26,3796,2902
43570164,Gold,2020-10-21,7488,17556
43570165,Gold,2021-12-09,4325,17335
43570166,Gold,2020-01-14,1316,48536
43570167,Gold,2020-05-27,4158,30465
43570168,Gold,2023-08-11,5552,48525
43570169,Gold,2020-04-30,7230,44095
43570170,Silver,2023-08-04,9034,31145
43570171,Silver,2022-05-19,3668,29662
43570172,Silver,2023-04-27,2765,3406
43570173,Silver,2022-07-07,1773,46644
43570174,Silver,2020-04-01,4385,31671
43570175,None,2020-08-20,353,46057
43570176,Gold,2022-03-28,524,21570
43570177,Gold,2020-06-25,8809,4690
43570178,None,2023-12-10,7665,11205
43570179,Gold,2021-10-27,9340,25197
43570180,None,2022-07-18,4250,45027
43570181,Gold,2020-01-14,8735,43466
43570182,None,2023-11-07,4842,47720
43570183,Silver,2021-01-13,4156,24030
43570184,None,2020-02-26,7613,28047
43570185,None,2023-12-13,7306,32127
43570186,None,2023-08-25,7645,39419
43570187,Silver,2022-07-05,9377,14443
43570188,Gold,2020-03-04,2513,11450
43570189,Gold,2021-09-05,4374,2191
43570190,None,2021-01-14,5836,26258
43570191,Silver,2021-10-18,294,36743
43570192,Gold,2020-06-23,8066,8711
43570193,Gold,2021-01-19,6884,28077
43570194,None,2022-09-29,4654,43696
43570195,Silver,2023-10-22,9508,497
43570196,Gold,2020-05-01,1386,39205
43570197,None,2020-09-17,7045,3994
43570198,Gold,2020-08-11,5451,21992
43570199,Gold,2021-06-26,7792,37785
43570200,None,2022-08-07,895,6196
43570201,Silver,2021-12-06,7360,29726
43570202,Silver,2024-03-03,1128,42042
43570203,None,2022-03-18,2076,17993
43570204,None,2021-06-11,5235,48000
43570205,Silver,2020-02-13,5808,39296
43570206,None,2023-02-10,6619,22990
43570207,Gold,2023-07-16,3133,46976
43570208,Gold,2024-04-02,5190,2188
43570209,Gold,2022-08-12,6246,34243
43570210,None,2023-10-14,1259,14369
43570211,Gold,2023-04-02,9287,8759
43570212,Gold,2023-09-27,2439,32753
43570213,Silver,2022-11-29,5513,42452
43570214,None,2020-05-16,4299,10016
43570215,Gold,2022-07-24,7420,27592
43570216,Gold,2020-03-08,8552,24242
43570217,Silver,2023-02-26,7732,41315
43570218,Gold,2021-01-08,6011,24064
43570219,Gold,2022-05-25,5946,46042
43570220,Silver,2021-10-24,34,1890
43570221,Silver,2023-06-13,4672,10941
43570222,None,2020-03-26,5410,5124
43570223,Gold,2022-02-15,7489,4129
43570224,Gold,2024-05-07,2948,24926
43570225,Silver,2020-01-29,1520,5928
43570226,Silver,2021-01-10,4844,26803
43570227,None,2021-01-28,6654,14870
43570228,None,2021-05-05,4313,44430
43570229,Gold,2020-09-12,4842,26348
43570230,Silver,2024-03-26,4021,14396
43570231,Gold,2024-02-27,2086,3981
43570232,Silver,2020-07-08,2650,32914
43570233,None,2022-08-22,1235,33943
43570234,Gold,2022-09-17,2652,27169
43570235,Gold,2023-02-13,6736,3249
43570236,Gold,2021-03-09,7610,13543
43570237,Silver,2020-08-30,1308,2114
43570238,None,2023-06-09,2153,15830
43570239,Silver,2020-05-29,1839,24312
43570240,Gold,2022-01-30,1081,32429
43570241,Gold,2022-08-20,1093,9072
43570242,Gold,2024-03-21,3765,48407
43570243,Gold,2022-04-02,3914,5001
43570244,Gold,2023-09-26,4278,11900
43570245,Gold,2023-09-25,4532,14931
43570246,None,2020-07-11,6228,15824
43570247,Gold,2020-10-26,703,38451
43570248,Gold,2021-09-14,1599,9113
43570249,Gold,2021-04-06,5885,32185
43570250,None,2020-01-03,5149,33125
43570251,Gold,2022-08-30,2833,44090
43570252,None,2020-09-03,2084,37634
43570253,None,2022-03-24,3235,42784
43570254,Gold,2023-11-11,6982,26406
43570255,Silver,2021-01-07,6741,45243
43570256,Silver,2021-09-11,2779,5477
43570257,None,2023-08-03,7409,19614
43570258,Gold,2022-12-20,3152,12845
43570259,None,2021-04-16,8708,29196
43570260,Gold,2021-05-02,3126,31009
43570261,None,2022-10-19,5605,14023
43570262,Silver,2023-03-06,4740,4046
43570263,Silver,2022-04-19,6945,29228
43570264,Gold,2023-12-16,1563,19449
43570265,Gold,2022-04-03,2743,19037
43570266,None,2022-09-28,3981,14111
43570267,Gold,2022-04-25,1598,22452
43570268,Gold,2022-06-25,1090,6883
43570269,Gold,2023-03-12,8869,38661
43570270,Gold,2022-06-02,6925,34203
43570271,Silver,2020-07-23,5048,31022
43570272,Silver,2020-01-05,9002,28688
43570273,Gold,2020-04-15,2945,3146
43570274,Silver,2023-03-21,9954,25201
43570275,Gold,2021-04-28,9072,26957
43570276,Gold,2021-01-21,7763,6128
43570277,Gold,2020-09-16,5532,26779
43570278,Gold,2021-05-10,4456,9632
43570279,Silver,2024-01-02,7504,20685
43570280,None,2020-10-17,152,3646
43570281,None,2021-06-26,9776,15268
43570282,Silver,2022-11-16,7062,14899
43570283,Gold,2020-08-05,583,39361
43570284,Silver,2024-04-20,3924,17093
43570285,None,2022-05-22,819,3399
43570286,Silver,2020-02-27,2262,44025
43570287,None,2021-08-18,7042,43628
43570288,Silver,2020-05-26,785,1648
43570289,None,2021-03-26,7028,30511
43570290,Gold,2023-06-23,5462,20176
43570291,Gold,2020-03-01,3616,43683
43570292,None,2021-05-16,4163,23184
43570293,Silver,2020-02-29,4918,25555
43570294,Silver,2023-01-27,3758,18039
43570295,Gold,2022-02-15,1496,17986
43570296,None,2021-01-12,6760,2630
43570297,None,2023-03-14,7183,36902
43570298,None,2024-05-12,3496,25041
43570299,None,2022-05-16,6898,44101
43570300,Gold,2021-01-27,3403,16875
43570301,Silver,2020-08-31,1552,36651
43570302,Silver,2022-04-18,3630,9546
43570303,Gold,2020-07-23,3501,3633
43570304,None,2021-10-19,7776,26918
43570305,Gold,2021-04-23,786,30777
43570306,None,2022-02-06,5929,37578
43570307,Gold,2020-05-08,567,22900
43570308,Gold,2022-06-17,8049,11510
43570309,None,2020-04-10,6541,23059
43570310,Gold,2021-02-27,5262,33755
43570311,None,2022-05-16,4219,38634
43570312,Gold,2022-03-06,8430,33680
43570313,Gold,2023-03-01,4948,24478
43570314,None,2020-08-10,2780,42579
43570315,Silver,2022-05-31,4312,5790
43570316,None,2022-04-11,692,36863
43570317,Silver,2021-12-19,5460,16565
43570318,Silver,2020-07-23,6037,23939
43570319,Gold,2022-08-14,7051,47194
43570320,Gold,2023-09-04,9907,35517
43570321,None,2023-03-11,8825,44119
43570322,Gold,2023-12-12,427,12979
43570323,Gold,2024-02-29,751,43459
43570324,Silver,2022-10-26,4615,32945
43570325,None,2023-01-17,3715,48219
43570326,Gold,2020-08-17,3121,8286
43570327,Gold,2023-02-21,5004,38252
43570328,Gold,2023-02-25,914,30904
43570329,None,2020-08-08,1454,44878
43570330,Silver,2021-06-22,8073,30083
43570331,Gold,2020-07-25,480,36986
43570332,Gold,2020-07-03,351,14166
43570333,None,2020-07-12,4019,4515
43570334,Gold,2023-07-05,4449,29334
43570335,Gold,2023-08-06,7465,43382
43570336,Gold,2023-07-14,8983,13590
43570337,Gold,2024-04-16,3038,25140
43570338,Gold,2024-05-11,8995,15740
43570339,Silver,2020-09-30,1248,35742
43570340,Silver,2021-03-13,9309,14042
43570341,None,2023-02-13,6127,48214
43570342,Silver,2023-12-19,1450,39949
43570343,Gold,2020-01-18,3357,15806
43570344,Gold,2021-12-21,6094,33443
43570345,None,2022-11-21,4835,41051
43570346,Silver,2020-12-10,9349,13690
43570347,Silver,2020-12-10,653,33964
43570348,Silver,2022-09-12,624,43345
43570349,Silver,2023-10-27,1888,11951
43570350,Gold,2021-04-17,4658,48421
43570351,Gold,2023-10-24,4034,8012
43570352,None,2021-11-17,7704,19425
43570353,Silver,2021-09-28,2211,35887
43570354,None,2020-10-04,144,46279
43570355,Gold,2021-07-20,7990,43585
43570356,None,2021-11-04,6460,26605
43570357,None,2022-03-06,4048,28152
43570358,None,2022-11-08,4732,30191
43570359,Gold,2021-01-12,7726,661
43570360,Gold,2024-04-08,5257,46902
43570361,Gold,2024-03-24,9349,33521
43570362,Silver,2021-11-12,895,4605
43570363,Gold,2020-06-16,9947,9154
43570364,None,2021-05-03,3126,45660
43570365,Gold,2023-06-09,6997,35283
43570366,Gold,2022-01-16,1361,13711
43570367,Silver,2022-11-28,5827,12407
43570368,None,2024-05-15,5929,44891
43570369,None,2024-02-07,4707,43546
43570370,None,2020-04-08,2133,44033
43570371,Gold,2020-06-12,4172,42894
43570372,Gold,2023-08-30,9726,8735
43570373,None,2022-02-14,8892,4973
43570374,Silver,2023-03-29,6711,12374
43570375,Gold,2021-05-25,3032,46582
43570376,None,2021-07-13,6563,8326
43570377,Gold,2020-05-30,9102,24257
43570378,None,2022-11-17,3608,23610
43570379,Silver,2023-11-15,7538,6671
43570380,None,2020-01-22,815,40328
43570381,Silver,2021-12-19,2900,42645
43570382,None,2020-04-28,3906,9570
43570383,Gold,2021-06-22,6456,14059
43570384,None,2024-05-14,5522,30737
43570385,None,2023-07-11,7266,16366
43570386,Gold,2023-05-15,4734,44367
43570387,None,2022-12-25,5100,5337
43570388,Silver,2022-01-14,5815,30573
43570389,Silver,2020-09-16,1522,43627
43570390,None,2023-07-11,8928,11067
43570391,Gold,2022-11-30,3356,26886
43570392,None,2022-06-17,6173,4364
43570393,Gold,2022-03-06,9780,41326
43570394,None,2024-01-11,1792,14525
43570395,None,2024-02-29,2295,18163
43570396,None,2023-03-11,761,4371
43570397,Gold,2024-01-24,7050,46994
43570398,Gold,2023-05-03,4383,12827
43570399,Gold,2023-03-07,2632,32517
43570400,Gold,2020-01-28,1040,22153
43570401,None,2021-02-13,6992,49814
43570402,Gold,2021-06-17,1854,7729
43570403,Gold,2021-07-04,5376,10196
43570404,Silver,2020-02-25,2220,39394
43570405,None,2023-12-04,6921,37725
43570406,Gold,2021-03-12,1730,34008
43570407,Gold,2022-09-22,8186,4100
43570408,None,2024-01-08,9087,20821
43570409,Silver,2020-06-02,2618,14938
43570410,Silver,2021-07-27,7208,43792
43570411,Silver,2022-11-20,5366,4201
43570412,None,2020-06-07,6154,48450
43570413,None,2022-01-20,2967,5793
43570414,None,2023-08-12,6293,26459
43570415,Silver,2022-09-09,3508,42069
43570416,None,2023-01-11,8611,36833
43570417,None,2022-04-17,4430,31966
43570418,Gold,2024-02-11,3575,8378
43570419,None,2021-09-04,109,18783
43570420,Gold,2023-01-09,4094,48323
43570421,None,2022-05-10,4878,587
43570422,None,2021-07-17,8639,26606
43570423,None,2021-01-21,9573,333
43570424,None,2020-11-27,8619,43195
43570425,None,2020-02-24,6656,7095
43570426,Silver,2022-09-08,7202,44394
43570427,Gold,2022-10-30,8388,6126
43570428,None,2022-03-08,2352,10976
43570429,None,2022-06-28,381,13710
43570430,None,2022-07-13,2719,32008
43570431,None,2021-06-17,5748,44484
43570432,Silver,2020-07-15,5833,41464
43570433,Silver,2021-08-01,13,33440
43570434,None,2021-10-17,786,31766
43570435,Gold,2022-08-28,8765,43892
43570436,None,2022-04-27,3889,44118
43570437,Gold,2020-08-29,2854,28874
43570438,Silver,2022-12-20,9578,26619
43570439,Gold,2022-05-02,3116,17166
43570440,Gold,2022-05-28,6131,24788
43570441,None,2020-07-10,8288,36307
43570442,Silver,2021-04-11,4872,5599
43570443,Gold,2022-06-20,1792,48149
43570444,Gold,2021-05-27,2598,46600
43570445,Silver,2023-10-14,4113,26090
43570446,Gold,2020-05-25,3404,6463
43570447,Gold,2023-03-19,6878,26849
43570448,Silver,2020-11-17,1543,24266
43570449,Silver,2022-12-20,2644,21777
43570450,Gold,2021-07-21,6913,1307
43570451,None,2023-12-02,1936,18640
43570452,Gold,2023-06-11,3589,10090
43570453,Silver,2022-05-06,5750,35612
43570454,None,2020-08-03,2804,15280
43570455,None,2024-04-08,5503,24051
43570456,Silver,2022-12-15,4779,35980
43570457,Silver,2020-12-25,183,45711
43570458,None,2021-06-26,9625,45754
43570459,Gold,2021-02-20,5524,45362
43570460,Silver,2022-01-11,4977,5534
43570461,None,2021-09-12,2361,9142
43570462,Gold,2022-10-19,7081,39298
43570463,Gold,2023-05-30,3139,33229
43570464,Gold,2024-02-20,6706,40147
43570465,None,2022-04-29,6830,8496
43570466,Gold,2021-01-12,7,1807
43570467,Gold,2020-12-12,5103,38582
43570468,None,2022-09-17,5988,3154
43570469,Silver,2022-09-07,6292,15386
43570470,Silver,2020-11-25,650,9510
43570471,Silver,2021-08-19,311,37110
43570472,None,2021-04-03,7719,27028
43570473,None,2021-09-01,7087,4367
43570474,Silver,2020-05-25,2951,26988
43570475,Gold,2024-04-23,8003,48917
43570476,Silver,2020-12-17,8327,4817
43570477,None,2020-11-20,1758,407
43570478,Silver,2024-01-06,8511,1043
43570479,Silver,2023-10-01,5284,31761
43570480,None,2021-04-14,5230,12237
43570481,Gold,2020-02-10,1992,5819
43570482,Gold,2024-02-05,2443,45434
43570483,Gold,2023-03-31,3884,49193
43570484,Silver,2022-10-06,4919,22468
43570485,Silver,2024-03-03,7097,7839
43570486,None,2021-01-31,9260,2531
43570487,None,2021-06-14,6245,23425
43570488,Silver,2023-08-08,6068,21294
43570489,None,2023-10-17,7213,29067
43570490,Silver,2022-04-19,5617,23754
43570491,None,2020-10-17,3087,6521
43570492,None,2021-04-19,7446,41632
43570493,Silver,2021-02-12,6615,32374
43570494,Silver,2021-05-11,6897,22944
43570495,Gold,2022-06-26,5356,33140
43570496,Gold,2023-07-10,1693,1414
43570497,Gold,2020-02-27,3144,26751
43570498,Gold,2024-04-25,4563,129
43570499,Gold,2024-05-05,7190,19892
43570500,None,2023-04-27,6367,5927
43570501,Gold,2021-01-28,8290,27845
43570502,Gold,2022-09-28,3640,216
43570503,None,2023-11-17,7845,27738
43570504,None,2021-08-17,1856,36594
43570505,None,2021-01-06,7074,2767
43570506,Silver,2021-11-10,5301,5246
43570507,None,2021-11-17,2453,2045
43570508,Silver,2021-08-06,981,45492
43570509,Silver,2024-04-22,6210,47210
43570510,None,2022-11-06,9510,48011
43570511,Gold,2023-05-04,5007,22465
43570512,Gold,2021-11-24,5335,22997
43570513,None,2020-07-21,1714,32427
43570514,None,2020-12-01,1233,373
43570515,Silver,2023-06-01,6306,8707
43570516,Silver,2023-08-02,8975,22586
43570517,None,2023-09-07,1574,44628
43570518,Silver,2021-07-20,9758,41753
43570519,Gold,2023-09-06,7900,13898
43570520,Silver,2023-05-01,4034,42577
43570521,Silver,2020-06-06,889,48385
43570522,Silver,2023-01-14,342,31723
43570523,None,2022-10-26,7169,9661
43570524,Gold,2020-12-27,396,33474
43570525,Gold,2022-03-30,2071,43037
43570526,Gold,2022-01-27,7087,46618
43570527,None,2022-12-16,5002,29356
43570528,Gold,2020-05-16,5983,13911
43570529,Silver,2022-07-24,7457,29994
43570530,Silver,2021-02-27,4313,24725
43570531,Gold,2020-09-10,8531,42602
43570532,None,2023-06-21,4107,17705
43570533,None,2024-03-11,8549,35580
43570534,Gold,2022-12-25,4295,15996
43570535,None,2021-03-30,1798,30507
43570536,None,2024-04-17,4839,36665
43570537,Gold,2022-07-03,1170,47939
43570538,Silver,2023-09-15,6767,28851
43570539,Gold,2021-09-06,172,42500
43570540,Silver,2022-09-02,1262,38550
43570541,Silver,2023-06-10,1043,48811
43570542,Silver,2020-03-11,294,38314
43570543,Gold,2022-09-11,3341,22445
43570544,Silver,2023-06-20,4721,19114
43570545,Gold,2023-07-07,8027,9501
43570546,Silver,2022-08-21,8673,24248
43570547,Silver,2022-11-07,774,28846
43570548,None,2021-10-10,6504,24854
43570549,Silver,2022-08-31,1808,12565
43570550,None,2023-10-08,5284,6664
43570551,None,2021-06-05,3327,49851
43570552,Silver,2022-03-25,7678,9050
43570553,None,2024-03-20,8441,42896
43570554,Gold,2021-06-08,7014,9712
43570555,Gold,2020-09-03,1114,31368
43570556,Gold,2022-08-14,8117,11383
43570557,None,2023-12-17,8600,15232
43570558,Silver,2023-05-20,964,34054
43570559,Silver,2021-10-28,999,34993
43570560,Silver,2022-01-26,5976,1640
43570561,Silver,2023-01-07,351,38148
43570562,Gold,2020-09-24,7184,42558
43570563,Silver,2021-11-06,6783,14507
43570564,Gold,2020-11-03,8961,20588
43570565,Gold,2020-12-05,1550,14793
43570566,Silver,2021-06-29,1509,42686
43570567,None,2024-01-29,0,22584
43570568,Gold,2023-02-17,5871,20324
43570569,Silver,2023-11-22,8425,6287
43570570,Gold,2023-10-22,193,27950
43570571,None,2021-10-06,7070,27816
43570572,Silver,2022-12-13,6633,36122
43570573,None,2022-12-03,1870,42003
43570574,None,2024-02-12,8464,45517
43570575,Silver,2021-06-21,6447,23001
43570576,Silver,2021-08-15,654,29400
43570577,Silver,2023-05-31,4417,7627
43570578,Gold,2020-06-01,4409,39200
43570579,Silver,2022-09-13,1188,30862
43570580,None,2023-07-14,3725,36256
43570581,Gold,2020-02-03,4529,48570
43570582,None,2023-02-08,7055,37892
43570583,Silver,2022-11-05,13,11158
43570584,Gold,2021-10-27,8202,46919
43570585,None,2023-04-13,7832,13850
43570586,Silver,2020-08-06,1689,46391
43570587,None,2020-08-08,810,25352
43570588,Gold,2020-02-23,6151,29020
43570589,Silver,2022-09-12,9381,46353
43570590,Gold,2021-07-08,6082,35389
43570591,None,2020-09-02,5203,761
43570592,None,2023-11-12,912,14756
43570593,Silver,2021-04-27,7370,2320
43570594,Gold,2022-12-13,727,8016
43570595,None,2023-04-02,8066,47187
43570596,None,2022-02-20,2128,13421
43570597,Gold,2023-09-17,7268,46920
43570598,Silver,2020-10-11,8790,11138
43570599,Silver,2020-06-17,3239,39983
43570600,None,2020-02-07,5954,45394
43570601,None,2021-06-29,3577,38685
43570602,Gold,2022-06-17,443,14026
43570603,None,2022-11-19,4347,49087
43570604,Silver,2023-04-23,5612,25797
43570605,Gold,2023-02-13,5348,38522
43570606,None,2020-08-27,3988,44702
